1H-13C HMBC NSN Honey Sample			
Peak	(F2) [ppm]	(F1) [ppm]	Intensity [abs]
513	3.4005	72.3031	1430129710.00
514	3.9737	98.0938	1433351331.00
515	3.9786	72.3005	1433641116.00
516	3.4651	88.7713	1443303263.00
517	3.1107	69.6817	-1446710856.00
518	3.3143	77.3098	1451381061.00
519	3.4412	71.6567	1453704864.00
520	5.2152	80.4675	-1455428368.00
521	3.994	70.5872	-1458442398.00
522	3.7232	68.2996	-1459924293.00
523	3.7373	101.4523	-1465236298.00
524	4.175	74.4693	1474877593.00
525	5.1505	69.6073	1477164131.00
526	3.5314	102.4183	-1479754198.00
527	3.8164	70.4077	-1491943558.00
528	4.1372	63.4258	1499323495.00
529	3.5435	75.9044	-1499360218.00
530	3.642	77.791	-1501676871.00
531	3.6352	82.5164	1502491071.00
532	3.4572	99.8973	1504676782.00
533	5.3578	92.0866	-1507297663.00
534	3.7243	72.4394	-1511279958.00
535	3.7169	62.9079	-1511975148.00
536	3.4696	76.7791	1519701147.00
537	3.4541	68.524	1526254966.00
538	3.6761	72.1387	1529671112.00
539	3.855	98.0174	1531023164.00
540	3.3739	97.9208	-1532044938.00
541	4.0925	70.7906	1535945007.00
542	3.4801	80.626	-1536606189.00
543	3.6397	88.5946	1538358128.00
544	3.299	70.3279	-1538831612.00
545	3.7844	76.011	-1542169310.00
546	3.9278	80.3645	1545863184.00
547	3.8356	60.7073	1549099705.00
548	3.8556	100.8343	-1550788634.00
549	3.7864	61.0166	-1559367603.00
550	3.5335	98.008	-1559979362.00
551	3.4537	66.5617	1566906727.00
552	3.1147	53.9062	-1572102904.00
553	3.5956	75.6155	-1572151156.00
554	3.6403	56.5809	-1572448138.00
555	3.383	71.8327	1575844374.00
556	3.348	74.7811	1583479562.00
557	3.1861	96.87	-1584607073.00
558	3.9658	99.0891	-1584869248.00
559	3.7197	72.9241	1587696432.00
560	3.8174	65.2392	-1594024609.00
561	3.3969	98.1017	-1595326857.00
562	5.2229	80.4987	1597376487.00
563	3.6408	78.8969	1599912091.00
564	3.6079	91.9495	-1602452309.00
565	3.85	75.3654	1603995073.00
566	4.1286	63.1651	-1613776450.00
567	3.6116	65.1943	1619386492.00
568	3.7598	74.4907	1622514460.00
569	3.6929	73.4225	1625363895.00
570	5.158	78.0559	1626487456.00
571	3.4978	100.3647	1627038746.00
572	3.3837	70.7028	1634973616.00
573	4.0997	63.3308	-1641352828.00
574	3.4665	75.7669	1643466196.00
575	5.166	78.0804	-1654040029.00
576	5.1434	69.6535	-1656570259.00
577	3.7979	75.8084	-1657417236.00
578	3.6264	81.3826	1659907740.00
579	3.4238	71.2257	-1662213031.00
580	4.0444	62.4586	1663179547.00
581	3.2594	71.3651	-1665474370.00
582	3.792	98.1651	1673585328.00
583	3.6998	75.5281	-1678919864.00
584	3.7213	71.4667	1680209351.00
585	3.6339	74.625	1690692494.00
586	3.4194	62.429	1691694716.00
587	3.8729	97.9776	-1700665476.00
588	3.7183	81.535	-1704851798.00
589	4.0063	104.4354	1710217226.00
590	3.7177	72.294	1717867382.00
591	3.4583	88.2872	-1725484537.00
592	3.5885	96.9978	1728534048.00
593	3.7772	68.5608	1743590008.00
594	3.6053	100.5897	-1759276805.00
595	3.7631	75.6747	-1768466258.00
596	3.2066	75.9112	-1769957180.00
597	3.5994	73.3956	1772894180.00
598	3.347	76.8887	1779006838.00
599	3.8551	70.2188	-1780254732.00
600	3.7799	62.7734	-1786553682.00
601	3.8172	66.4333	1788988290.00
602	3.2809	71.4357	1790167992.00
603	3.5368	69.821	-1795948065.00
604	3.8488	98.0172	-1801937404.00
605	3.495	74.2353	-1802647720.00
606	3.612	77.1417	1808959896.00
607	4.1816	74.4448	1814158373.00
608	3.3946	68.5443	-1815169620.00
609	3.7944	62.2715	-1824216532.00
610	3.5922	79.3341	-1825800430.00
611	3.2534	71.4711	1827926032.00
612	3.7501	81.3542	-1830274402.00
613	3.8937	68.6902	-1830908414.00
614	3.7242	60.7259	-1834623991.00
615	3.5274	98.0925	-1837048764.00
616	3.4993	76.4503	1840401856.00
617	3.5078	66.8186	-1841495212.00
618	3.4567	56.375	1841554822.00
619	3.5305	100.519	-1843581868.00
620	3.5614	98.0001	-1849098707.00
621	3.6826	62.7296	1853181766.00
622	3.3362	59.7702	-1867118080.00
623	3.2836	74.7899	1868092798.00
624	3.6984	62.8623	1871210800.00
625	3.3872	60.8692	-1873769946.00
626	3.8722	66.678	1900813363.00
627	3.419	63.4311	-1902113958.00
628	5.1698	71.3821	1905017416.00
629	3.4706	63.4348	-1905307150.00
630	3.4136	95.8807	1908211840.00
631	3.2882	73.5377	-1913229834.00
632	3.7572	98.0835	-1914664857.00
633	3.6409	96.3793	-1917671472.00
634	3.6156	79.6038	-1927296879.00
635	3.6562	92.1013	1927790380.00
636	3.4642	96.3116	-1933379210.00
637	3.4576	70.8875	1943670362.00
638	4.1034	68.8976	-1946846858.00
639	3.3292	70.3431	1951026754.00
640	3.3939	60.9811	1953279924.00
641	4.1967	75.3717	1976837843.00
642	3.8612	97.9707	-1992593890.00
643	3.4097	60.8234	-2002307796.00
644	3.6901	62.753	-2007497398.00
645	3.7089	98.0619	-2019587790.00
646	3.9777	70.7805	2023864708.00
647	3.8971	66.4661	-2028651138.00
648	3.4931	56.6474	-2033299890.00
649	3.9924	68.6388	-2034232901.00
650	3.5029	96.9886	2035691948.00
651	3.6344	92.1769	2037623040.00
652	3.4565	91.9416	-2045333300.00
653	5.1764	72.7074	2049110354.00
654	3.3715	68.5957	-2050017896.00
655	3.8307	70.5557	-2051538070.00
656	3.9552	68.1627	2052274820.00
657	3.6495	92.1388	-2068512686.00
658	3.6603	72.4688	-2071168900.00
659	4.0091	68.6488	2079696217.00
660	3.4286	92.0413	2090237790.00
661	3.7427	63.4166	2103204728.00
662	3.5772	75.5675	2104481278.00
663	3.9142	80.6719	2104767788.00
664	3.7572	65.1742	-2109425656.00
665	3.6061	79.6403	2112006603.00
666	3.4821	99.5769	-2121051202.00
667	3.9711	70.7801	2121323790.00
668	3.2676	71.5628	2124102100.00
669	3.3775	75.1087	-2125455104.00
670	3.4645	56.6138	-2132805382.00
671	3.5913	76.2968	2149656954.00
672	3.2793	60.7998	2151019374.00
673	3.7863	62.1104	2156292172.00
674	3.5617	69.4619	-2157648997.00
675	3.3748	72.3628	-2158015841.00
676	2.9728	73.9326	-2160335220.00
677	3.6153	73.0419	-2161467212.00
678	3.2308	75.7695	2170952250.00
679	3.6248	99.1267	2172860894.00
680	3.4397	74.2688	-2178469664.00
681	3.4643	70.8537	-2181731932.00
682	3.6123	78.0435	-2199948090.00
683	3.6411	62.1234	-2208782968.00
684	3.7442	70.7094	2209642644.00
685	3.7297	72.4869	2214504780.00
686	3.6159	81.6232	-2217101966.00
687	3.1809	69.5422	2217847192.00
688	3.4478	74.062	-2223050582.00
689	3.9416	67.7122	2227360308.00
